country,cost_of_living
India,42.86
China,87.94
United States,143.34
Indonesia,54.52
Pakistan,45.2
Nigeria,52.55
Brazil,104.54
Bangladesh,52.6
Russia,61.96
Ethiopia,51.03
Mexico,74.69
Japan,144.44
Philippines,55.15
Egypt,27.37
DR Congo,61.73
Vietnam,50.03
Iran,60.16
Turkey,64.7
Germany,127.47
Thailand,56.12
Tanzania,48.53
United Kingdom,144.03
France,135.27
South Africa,70.41
Italy,124.24
Kenya,57.71
Myanmar,41.08
Colombia,68.94
South Korea,123.53
Uganda,48.47
Sudan,38.29
Spain,113.82
Iraq,63.39
Algeria,49.36
Argentina,93.54
Afghanistan,
Poland,70.08
Canada,142.12
Morocco,63.47
Ukraine,37.76
Angola,92.68
Saudi Arabia,65.89
Uzbekistan,
Yemen,
Mozambique,49.57
Ghana,57.69
Peru,83.26
Malaysia,57.56
Nepal,41.85
Madagascar,44.3
Ivory Coast,60.86
Venezuela,
Cameroon,58.34
Niger,60.37
Australia,168.02
North Korea,
Syria,
Mali,50.55
Taiwan,78.15
Burkina Faso,49.19
Sri Lanka,52.19
Malawi,47.49
Zambia,63.6
Kazakhstan,55.08
Chile,105.82
Romania,63.98
Chad,58.53
Somalia,
Ecuador,82.35
Guatemala,
Senegal,58.75
Netherlands,137.57
Cambodia,52.69
Zimbabwe,69.53
Guinea,50.48
Rwanda,50.63
Benin,54.05
Burundi,54.25
Bolivia,53.79
Tunisia,43.98
Haiti,70.01
Belgium,136.89
Dominican Republic,73.55
Jordan,66.64
South Sudan,
Cuba,
Honduras,65.87
Sweden,155.01
Papua New Guinea,
Czech Republic,83.97
Azerbaijan,40.56
Tajikistan,43.51
Greece,104.66
Portugal,106.46
Hungary,77.19
United Arab Emirates,110.65
Belarus,45.75
Israel,167.52
Togo,60.73
Sierra Leone,41.32
Austria,134.56
Switzerland,197.89
Laos,53.79
Hong Kong,114.81
Nicaragua,54.99
Serbia,64.05
Libya,
Paraguay,65.46
Kyrgyzstan,40.38
Bulgaria,60.89
Turkmenistan,
El Salvador,73.82
Republic of the Congo,70.42
Singapore,112.16
Denmark,171.78
Central African Republic,75.56
Slovakia,93.82
Finland,151.13
Liberia,61.04
Norway,186.52
Palestine,
New Zealand,160.18
Costa Rica,94.13
Lebanon,
Ireland,157.19
Mauritania,49.9
Oman,78.88
Panama,72.83
Kuwait,88.57
Croatia,82.76
Eritrea,
Georgia,52.82
Mongolia,51.32
Uruguay,124.24
Moldova,49.48
Puerto Rico,
Bosnia and Herzegovina,64.74
Gambia,46.48
Albania,60.79
Jamaica,78.85
Armenia,49.68
Qatar,113.61
Botswana,69.39
Lithuania,79.09
Namibia,74.28
Gabon,78.6
Lesotho,56.38
Guinea-Bissau,57.18
Slovenia,103.47
North Macedonia,58.3
Latvia,89.68
Equatorial Guinea,74.93
Trinidad and Tobago,89.05
Bahrain,77.81
Estonia,96.58
Mauritius,74.87
Cyprus,108.2
Eswatini,65.77
Djibouti,84.48
Fiji,68.38
Comoros,70.11
Guyana,78.11
Bhutan,45.07
Solomon Islands,
Macau,
Luxembourg,156.4
Suriname,55.71
Montenegro,67.81
Cape Verde,69.79
Malta,101.71
Maldives,91.24
Brunei,72.31
Belize,105.86
Bahamas,158.09
Iceland,209.1
Vanuatu,
Barbados,169.9
Sao Tome and Principe,70.92
Samoa,
Curacao,
Saint Lucia,110.38
Kiribati,
Grenada,95.54
Jersey,
Tonga,
Seychelles,94.81
Aruba,118.56
Saint Vincent and the Grenadines,95.93
Antigua and Barbuda,131.03
Andorra,
Dominica,99.61
Cayman Islands,
Bermuda,225.86
Guernsey,
Saint Kitts and Nevis,
Marshall Islands,
Liechtenstein,
Monaco,
San Marino,
Palau,
Nauru,
Tuvalu,
